Price,Doors,Fuel Efficiency,Miles
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,71190
"$20,300 ",4 door,17,73465
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,71190
"$20,300 ",4 door,17,73465
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$20,300 ",4 door,17,72635
"$20,300 ",4 door,17,73465
"$20,300 ",4 door,17,71190
"$20,495 ",4 door,25,57762
"$20,500 ",4 door,25,56918
"$20,500 ",4 door,26,69715
"$20,500 ",4 door,17,69290
"$20,500 ",4 door,17,70050
"$20,800 ",4 door,23,55163
"$20,995 ",4 door,26,57187
"$20,995 ",4 door,29,54743
"$20,995 ",4 door,25,70568
"$20,995 ",4 door,24,60895
"$21,000 ",4 door,23,61735
"$21,150 ",4 door,25,46015
"$21,295 ",4 door,25,58989
"$21,395 ",4 door,23,57865
"$21,495 ",4 door,22,53969
"$21,495 ",4 door,28,50439
"$21,700 ",4 door,25,59565
"$21,950 ",4 door,29,59570
"$21,995 ",4 door,29,53635
"$21,995 ",4 door,28,52545
"$22,200 ",4 door,24,53667
"$22,200 ",4 door,25,47655
"$22,400 ",4 door,23,44237
"$22,500 ",4 door,25,55112
"$22,500 ",4 door,25,56558
"$22,500 ",4 door,29,56824
"$22,500 ",4 door,29,54586
"$22,700 ",4 door,25,41515
"$23,295 ",4 door,26,60480
"$23,295 ",4 door,26,44820
"$23,395 ",4 door,25,50115
"$23,500 ",4 door,21,65458
"$23,500 ",4 door,26,67250
"$21,495 ",4 door,28,50439
"$21,700 ",4 door,25,59565
"$21,950 ",4 door,29,59570
"$21,995 ",4 door,29,53635
"$21,995 ",4 door,28,52545
"$22,200 ",4 door,24,53667
"$22,200 ",4 door,25,47655
"$22,400 ",4 door,23,44237
"$22,500 ",4 door,25,55112
"$22,500 ",4 door,25,56558
"$22,500 ",4 door,29,56824
"$22,500 ",4 door,29,54586
"$22,700 ",4 door,25,41515
"$23,295 ",4 door,26,60480
"$23,295 ",4 door,26,44820
"$23,395 ",4 door,25,50115
"$23,500 ",4 door,21,65458
"$23,500 ",4 door,26,67250
"$21,495 ",4 door,28,50439
"$21,700 ",4 door,25,59565
"$21,950 ",4 door,29,59570
"$21,995 ",4 door,29,53635
"$21,995 ",4 door,28,52545
"$22,200 ",4 door,24,53667
"$22,200 ",4 door,25,47655
"$22,400 ",4 door,23,44237
"$22,500 ",4 door,25,55112
"$22,500 ",4 door,25,56558
"$22,500 ",4 door,29,56824
"$22,500 ",4 door,29,54586
"$22,700 ",4 door,25,41515
"$23,295 ",4 door,26,60480
"$23,295 ",4 door,26,44820
"$23,395 ",4 door,25,50115
"$23,500 ",4 door,21,65458
"$23,500 ",4 door,26,67250
"$21,700 ",4 door,25,59565
"$21,950 ",4 door,29,59570
"$21,995 ",4 door,29,53635
"$21,995 ",4 door,28,52545
"$22,200 ",4 door,24,53667
"$22,200 ",4 door,25,47655
"$22,400 ",4 door,23,44237
"$22,500 ",4 door,25,55112
"$22,500 ",4 door,25,56558
"$22,500 ",4 door,29,56824
"$22,500 ",4 door,29,54586
"$22,700 ",4 door,25,41515
"$23,295 ",4 door,26,60480
"$23,295 ",4 door,26,44820
"$23,395 ",4 door,25,50115
"$23,500 ",4 door,21,65458
"$23,500 ",4 door,26,67250
"$21,495 ",4 door,28,50439
"$21,700 ",4 door,25,59565
"$21,950 ",4 door,29,59570
"$21,995 ",4 door,29,53635
"$21,995 ",4 door,28,52545
"$22,200 ",4 door,24,53667
"$22,200 ",4 door,25,47655
"$22,400 ",4 door,23,44237
"$22,500 ",4 door,25,55112
"$22,500 ",4 door,25,56558
"$22,500 ",4 door,29,56824
"$22,500 ",4 door,29,54586
"$22,700 ",4 door,25,41515
"$23,295 ",4 door,26,60480
"$23,295 ",4 door,26,44820
"$23,395 ",4 door,25,50115
"$23,500 ",4 door,21,65458
"$23,500 ",4 door,26,67250
"$21,495 ",4 door,28,50439
"$21,700 ",4 door,25,59565
"$21,950 ",4 door,29,59570
"$21,995 ",4 door,29,53635
"$21,995 ",4 door,28,52545
"$22,200 ",4 door,24,53667
"$22,200 ",4 door,25,47655
"$22,400 ",4 door,23,44237
"$22,500 ",4 door,25,55112
"$22,500 ",4 door,25,56558
"$22,500 ",4 door,29,56824
"$22,500 ",4 door,29,54586
"$22,700 ",4 door,25,41515
"$23,295 ",4 door,26,60480
"$23,295 ",4 door,26,44820
"$23,395 ",4 door,25,50115
"$23,500 ",4 door,21,65458
"$23,500 ",4 door,26,67250
